Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/15/2026,02/16/2026,Payment Thank You-Mobile,,Payment,1334.47,
02/13/2026,02/15/2026,GITHUB  INC.,Professional Services,Sale,-16.89,
02/12/2026,02/13/2026,PUBLIX #1095,Groceries,Sale,-26.81,
02/11/2026,02/12/2026,TST*BLACK ROOSTER,Food & Drink,Sale,-57.96,
02/11/2026,02/11/2026,ANTHROPIC,Shopping,Sale,-32.40,
02/11/2026,02/11/2026,ANTHROPIC,Shopping,Sale,-21.60,
02/11/2026,02/11/2026,RAILWAY,Shopping,Sale,-5.00,
02/10/2026,02/11/2026,KALSHI,Professional Services,Sale,-20.00,
02/11/2026,02/11/2026,KALSHI,Professional Services,Sale,-30.00,
02/10/2026,02/10/2026,ANTHROPIC,Shopping,Sale,-54.00,
02/08/2026,02/10/2026,TACO MADRE,Food & Drink,Sale,-38.76,
02/09/2026,02/10/2026,LI DRUM BUS,Education,Sale,-1.00,
02/09/2026,02/09/2026,APPLE.COM/US,Shopping,Sale,-649.92,
02/08/2026,02/09/2026,EXXON PALMETTO ROADS #,Gas,Sale,-35.71,
02/05/2026,02/08/2026,TST*COLAS RESTAURANT,Food & Drink,Sale,-66.70,
02/06/2026,02/08/2026,PUBLIX #1095,Groceries,Sale,-13.13,
02/04/2026,02/05/2026,PUBLIX #1095,Groceries,Sale,-41.75,
02/03/2026,02/04/2026,CODETWO,Shopping,Sale,-14.69,
02/02/2026,02/03/2026,PUBLIX #1095,Groceries,Sale,-21.31,
02/01/2026,02/02/2026,GOOGLE *CLOUD VKDVXv,Professional Services,Sale,-0.02,
02/01/2026,02/02/2026,SUPABASE,Shopping,Sale,-35.00,
02/01/2026,02/01/2026,DIGITALOCEAN.COM,Shopping,Sale,-65.15,
01/28/2026,01/29/2026,CVS/PHARMACY #00830,Health & Wellness,Sale,-42.92,
01/28/2026,01/29/2026,PUBLIX #1095,Groceries,Sale,-98.14,
01/26/2026,01/27/2026,LI DRUM BUS,Education,Sale,-1.00,
01/27/2026,01/27/2026,Microsoft-G137253140,Shopping,Sale,-56.67,
01/24/2026,01/26/2026,SHELL OIL 53918000422,Gas,Sale,-18.78,
01/24/2026,01/25/2026,CVS/PHARMACY #00830,Health & Wellness,Sale,-4.38,
01/23/2026,01/23/2026,UNIV OF SOUTH CAROLINA,Education,Sale,-15.00,
01/22/2026,01/23/2026,JJ TEA HOUSE LLC,Food & Drink,Sale,-21.78,
01/15/2026,01/21/2026,LEE ENT ADVERTISING AP,Shopping,Return,374.60,
01/18/2026,01/20/2026,GREENVILLE PARKING RIVERP,Entertainment,Sale,-7.00,
01/18/2026,01/19/2026,CVS/PHARMACY #00830,Health & Wellness,Sale,-14.45,
