month,source,predicted,actual,errPct,absErr
2024-05,cashout,157.26,2025.00,92.23,1867.74
2024-05,transfer_like,269.50,279.78,3.67,10.28
2024-05,other,0.00,498.76,100.00,498.76
2024-05,check_deposit,0.00,1700.00,100.00,1700.00
2024-06,check_deposit,244.94,0.00,100.00,244.94
2024-06,cashout,205.63,1629.60,87.38,1423.97
2024-06,transfer_like,227.26,193.93,17.19,33.33
2024-06,other,216.25,1118.65,80.67,902.40
2024-07,cashout,390.10,1528.00,74.47,1137.90
2024-07,transfer_like,223.88,98.68,126.87,125.20
2024-07,other,248.63,984.14,74.74,735.51
2024-07,check_deposit,0.00,50.00,100.00,50.00
2024-08,check_deposit,323.37,0.00,100.00,323.37
2024-08,cashout,488.27,380.00,28.49,108.27
2024-08,transfer_like,157.74,1214.96,87.02,1057.22
2024-08,other,0.00,947.08,100.00,947.08
2024-09,cashout,491.44,145.56,237.62,345.88
2024-09,transfer_like,151.27,107.63,40.55,43.64
2024-09,other,0.00,482.97,100.00,482.97
2024-10,cashout,444.02,289.25,53.51,154.77
2024-10,transfer_like,172.56,455.72,62.13,283.16
2024-10,other,133.83,911.44,85.32,777.61
2024-10,check_deposit,0.00,1140.00,100.00,1140.00
2024-11,cashout,205.24,404.65,49.28,199.41
2024-11,transfer_like,336.56,531.37,36.66,194.81
2024-11,other,119.75,1330.05,91.00,1210.30
2024-11,check_deposit,0.00,100.00,100.00,100.00
2024-12,other,378.85,868.03,56.36,489.18
2024-12,transfer_like,425.50,613.34,30.63,187.84
2024-12,check_deposit,0.00,300.00,100.00,300.00
2024-12,cashout,0.00,412.87,100.00,412.87
2025-01,check_deposit,139.38,750.00,81.42,610.62
2025-01,transfer_like,780.90,241.55,223.29,539.35
2025-01,other,177.75,11300.43,98.43,11122.68
2025-01,cashout,0.00,599.03,100.00,599.03
2025-02,cashout,233.27,0.00,100.00,233.27
2025-02,check_deposit,155.07,0.00,100.00,155.07
2025-02,transfer_like,247.78,706.82,64.94,459.04
2025-02,other,0.00,741.23,100.00,741.23
2025-03,transfer_like,481.14,470.78,2.20,10.36
2025-03,cashout,0.00,211.26,100.00,211.26
2025-03,check_deposit,0.00,450.00,100.00,450.00
2025-03,other,0.00,1443.40,100.00,1443.40
2025-04,cashout,194.66,315.54,38.31,120.88
2025-04,check_deposit,236.46,0.00,100.00,236.46
2025-04,transfer_like,326.54,238.01,37.20,88.53
2025-04,other,0.00,477.37,100.00,477.37
2025-05,transfer_like,690.55,634.37,8.86,56.18
2025-05,other,209.92,2387.58,91.21,2177.66
2025-05,cashout,0.00,91.00,100.00,91.00
2025-05,check_deposit,0.00,8010.13,100.00,8010.13
2025-06,check_deposit,1159.03,0.00,100.00,1159.03
2025-06,cashout,251.76,562.40,55.23,310.64
2025-06,other,551.11,1200.76,54.10,649.65
2025-06,transfer_like,0.00,852.22,100.00,852.22
2025-07,transfer_like,312.67,952.22,67.16,639.55
2025-07,cashout,325.58,0.00,100.00,325.58
2025-07,check_deposit,868.61,1058.00,17.90,189.39
2025-07,other,0.00,636.18,100.00,636.18
2025-08,cashout,309.07,1330.38,76.77,1021.31
2025-08,check_deposit,2040.52,5000.00,59.19,2959.48
2025-08,transfer_like,514.47,0.00,100.00,514.47
2025-08,other,0.00,1018.71,100.00,1018.71
2025-09,cashout,512.09,755.00,32.17,242.91
2025-09,check_deposit,970.98,0.00,100.00,970.98
2025-09,other,949.41,2414.21,60.67,1464.80
2025-09,transfer_like,0.00,2294.33,100.00,2294.33
2025-10,transfer_like,1639.49,2573.58,36.30,934.09
2025-10,check_deposit,967.24,100.00,867.24,867.24
2025-10,other,0.00,1216.27,100.00,1216.27
2025-11,cashout,582.68,410.00,42.12,172.68
2025-11,transfer_like,2313.51,1419.79,62.95,893.72
2025-11,other,627.83,1423.94,55.91,796.11
2025-12,other,210.11,2375.99,91.16,2165.88
2025-12,transfer_like,4734.76,4787.16,1.09,52.40
2025-12,cashout,0.00,322.06,100.00,322.06
2026-01,transfer_like,3476.43,0.00,100.00,3476.43
2026-01,other,85.90,11427.49,99.25,11341.59
2026-01,check_deposit,0.00,300.00,100.00,300.00
2026-01,cashout,0.00,329.91,100.00,329.91
