month,category,predicted,actual,errPct,absErr
2024-05,Groceries,215.99,302.74,28.65,86.75
2024-05,Entertainment,241.98,0.00,100.00,241.98
2024-05,Healthcare,11.94,65.00,81.63,53.06
2024-05,Transport,0.00,112.17,100.00,112.17
2024-05,Other,0.00,119.95,100.00,119.95
2024-06,Groceries,166.29,820.76,79.74,654.47
2024-06,Entertainment,96.31,12.00,702.58,84.31
2024-06,Healthcare,72.43,11.62,523.32,60.81
2024-06,Other,39.31,0.00,100.00,39.31
2024-06,Transport,36.97,154.23,76.03,117.26
2024-07,Groceries,313.69,710.75,55.86,397.06
2024-07,Entertainment,112.12,9.99,1022.32,102.13
2024-07,Healthcare,24.44,132.17,81.51,107.73
2024-07,Transport,55.77,88.50,36.98,32.73
2024-07,Other,0.00,10.00,100.00,10.00
2024-07,Housing,0.00,500.00,100.00,500.00
2024-08,Groceries,279.21,241.81,15.47,37.40
2024-08,Transport,146.87,67.80,116.62,79.07
2024-08,Healthcare,41.57,186.25,77.68,144.68
2024-08,Entertainment,100.94,367.86,72.56,266.92
2024-08,Other,9.88,11.88,16.84,2.00
2024-09,Groceries,285.79,490.66,41.75,204.87
2024-09,Healthcare,24.26,92.92,73.89,68.66
2024-09,Transport,112.62,91.07,23.66,21.55
2024-09,Entertainment,125.26,89.99,39.19,35.27
2024-09,Utilities,0.00,66.00,100.00,66.00
2024-10,Groceries,282.35,423.27,33.29,140.92
2024-10,Transport,34.30,29.21,17.43,5.09
2024-10,Entertainment,40.22,173.59,76.83,133.37
2024-10,Healthcare,0.00,127.92,100.00,127.92
2024-10,Utilities,0.00,113.31,100.00,113.31
2024-11,Entertainment,97.03,105.59,8.11,8.56
2024-11,Groceries,378.28,500.12,24.36,121.84
2024-11,Healthcare,139.54,93.23,49.67,46.31
2024-11,Transport,30.30,391.74,92.27,361.44
2024-11,Utilities,0.00,89.73,100.00,89.73
2024-12,Groceries,295.05,796.13,62.94,501.08
2024-12,Entertainment,42.75,102.70,58.37,59.95
2024-12,Healthcare,61.23,132.90,53.93,71.67
2024-12,Transport,30.04,378.46,92.06,348.42
2024-12,Utilities,92.18,80.68,14.25,11.50
2024-12,Other,0.00,235.00,100.00,235.00
2025-01,Groceries,303.57,300.28,1.10,3.29
2025-01,Entertainment,75.55,150.81,49.90,75.26
2025-01,Transport,86.00,92.83,7.36,6.83
2025-01,Healthcare,105.26,75.21,39.95,30.05
2025-01,Utilities,87.40,47.93,82.35,39.47
2025-01,Other,199.23,17.50,1038.46,181.73
2025-02,Transport,64.37,88.95,27.63,24.58
2025-02,Groceries,209.20,291.12,28.14,81.92
2025-02,Healthcare,41.43,92.78,55.35,51.35
2025-02,Entertainment,71.28,202.34,64.77,131.06
2025-02,Utilities,72.25,91.18,20.76,18.93
2025-02,Other,15.62,115.00,86.42,99.38
2025-03,Healthcare,63.09,86.83,27.34,23.74
2025-03,Transport,65.88,198.23,66.77,132.35
