month,date,merchant,source,amount,inferredCategory
2024-05,2024-05-28,Remote Online Deposit # 1,check_deposit,1000.00,Other
2024-10,2024-10-08,Remote Online Deposit # 1,check_deposit,1140.00,Other
2025-01,2025-01-02,Id Number,other,10000.00,Other
2025-05,2025-05-23,Remote Online Deposit # 1,check_deposit,5000.00,Other
2025-05,2025-05-27,Remote Online Deposit # 1,check_deposit,2410.13,Other
2025-07,2025-07-10,Remote Online Deposit # 1,check_deposit,1000.00,Other
2025-08,2025-08-18,Remote Online Deposit # 1,check_deposit,5000.00,Other
2025-09,2025-09-03,Transfer From Chk ... Transaction#:,transfer_like,1032.00,Income
2025-09,2025-09-15,Transfer From Chk ... Transaction#:,transfer_like,1187.33,Income
2025-10,2025-10-01,Transfer From Chk ... Transaction#:,transfer_like,1386.79,Income
2025-10,2025-10-16,Transfer From Chk ... Transaction#:,transfer_like,1186.79,Income
2025-11,2025-11-03,Transfer From Chk ... Transaction#:,transfer_like,1186.79,Income
2025-12,2025-12-01,Transfer From Chk ... Transaction#:,transfer_like,2413.58,Income
2025-12,2025-12-15,Transfer From Chk ... Transaction#:,transfer_like,1186.79,Income
2025-12,2025-12-23,Transfer From Chk ... Transaction#:,transfer_like,1186.79,Income
2026-01,2026-01-08,Id Number,other,10000.00,Other
