month,historyTxCount,predictedIncome,actualIncome,incomeAbsErrPct,predictedExpenses,actualExpenses,expenseAbsErrPct,predictedNet,actualNet,netAbsErr
2024-05,125,426.76,4004.80,89.34,469.91,599.86,21.66,-43.15,3404.94,3448.09
2024-06,164,894.08,1823.58,50.97,411.31,998.61,58.81,482.77,824.97,342.20
2024-07,228,862.61,1676.71,48.55,506.02,1451.41,65.14,356.59,225.30,131.29
2024-08,273,969.38,1737.06,44.19,578.47,875.60,33.93,390.91,861.46,470.55
2024-09,316,642.71,388.22,65.55,547.93,830.64,34.04,94.78,-442.42,537.20
2024-10,359,750.41,1884.99,60.19,356.87,867.30,58.85,393.54,1017.69,624.15
2024-11,423,661.55,1059.58,37.56,739.54,1180.41,37.35,-77.99,-120.83,42.84
2024-12,473,804.35,1326.23,39.35,521.25,1725.87,69.80,283.10,-399.64,682.74
2025-01,522,1098.03,11590.68,90.53,857.01,684.56,25.19,241.02,10906.12,10665.10
2025-02,574,1449.24,706.92,105.01,474.15,881.37,46.20,975.09,-174.45,1149.54
2025-03,623,1222.52,1132.12,7.99,586.17,2745.84,78.65,636.35,-1613.72,2250.07
2025-04,704,1708.54,557.23,206.61,446.19,2174.43,79.48,1262.35,-1617.20,2879.55
2025-05,752,900.47,8735.55,89.69,937.63,3410.56,72.51,-37.16,5324.99,5362.15
2025-06,820,1961.90,1414.70,38.68,965.40,2232.75,56.76,996.50,-818.05,1814.55
2025-07,865,1506.86,2010.29,25.04,956.07,2325.57,58.89,550.79,-315.28,866.07
2025-08,903,2864.06,6330.44,54.76,943.08,4414.44,78.64,1920.98,1916.00,4.98
2025-09,962,2432.48,3049.39,20.23,5624.75,3348.26,67.99,-3192.27,-298.87,2893.40
2025-10,1003,2606.73,2981.28,12.56,2848.58,3050.04,6.61,-241.85,-68.76,173.09
2025-11,1045,3524.02,1879.84,87.46,3328.31,3897.84,14.61,195.71,-2018.00,2213.71
2025-12,1105,4944.87,5140.31,3.80,2521.75,3437.99,26.65,2423.12,1702.32,720.80
2026-01,1150,3562.33,11125.38,67.98,2615.34,2907.44,10.05,946.99,8217.94,7270.95
