Date,Merchant,Category,Amount,Balance,Type
2026-05-19,"Mazda Financial","Auto",-795.44,-18413.26,predicted
2026-05-15,"Johnsoncityenerg Elect_pymt","Other",-187.57,-17617.82,predicted
2026-05-14,"Petscreening Service","Other",-118.64,-17430.25,predicted
2026-05-13,"Chase","Other",-107.62,-17311.61,predicted
2026-05-12,"Anthropic","Subscriptions",-43.80,-17203.99,predicted
2026-05-11,"Amazon","Shopping",-57.07,-17124.70,predicted
2026-05-11,"Chase","Food & Drink",-35.49,-17160.19,predicted
2026-05-10,"Spotify","Subscriptions",-25.90,-17067.63,predicted
2026-05-08,"Netflix","Subscriptions",-17.26,-17041.73,predicted
2026-05-06,"Discover E-","Other",-159.27,-16891.48,predicted
2026-05-06,"Arc Predict","Other",-132.99,-17024.47,predicted
2026-05-04,"Petscreening Service","Other",-123.21,-16732.21,predicted
2026-05-01,"Apple Card","Other",-1944.93,-15110.68,predicted
2026-05-01,"SoFi","Other",-1397.72,-16508.40,predicted
2026-05-01,"Card Cashback Bonus Auto Redemption","Other",14.78,-16493.62,predicted
2026-05-01,"Chase","Other",-115.38,-16609.00,predicted
2026-04-30,"Interest Paid","Other",38.44,-13165.75,predicted
2026-04-27,"CVS Pharmacy","Healthcare",-70.00,-13204.19,predicted
2026-04-22,"Arc Predict","Other",-143.71,-13134.19,predicted
2026-04-20,"Mazda Financial","Auto",-795.44,-12782.74,predicted
2026-04-20,"Petscreening Service","Other",-143.21,-12925.95,predicted
2026-04-20,"Amazon","Shopping",-64.53,-12990.48,predicted
2026-04-18,"Chase","Other",-120.31,-11687.30,predicted
2026-04-18,"Walgreens","Healthcare",-300.00,-11987.30,predicted
2026-04-16,"Johnsoncityenerg Elect_pymt","Other",-187.57,-11453.16,predicted
2026-04-16,"Arc Predict","Other",-113.83,-11566.99,predicted
2026-04-12,"Anthropic","Subscriptions",-43.80,-11265.59,predicted
2026-04-11,"Petscreening Service","Other",-115.82,-11163.49,predicted
2026-04-11,"Amazon","Shopping",-58.30,-11221.79,predicted
2026-04-10,"Spotify","Subscriptions",-25.90,-10922.58,predicted
2026-04-10,"Chase","Other",-125.09,-11047.67,predicted
2026-04-08,"Netflix","Subscriptions",-17.26,-10896.68,predicted
2026-04-06,"Discover E-","Other",-159.27,-10879.42,predicted
2026-04-04,"Arc Predict","Other",-123.88,-10420.15,predicted
2026-04-04,"Walgreens","Healthcare",-300.00,-10720.15,predicted
2026-04-03,"Petscreening Service","Other",-130.68,-10296.27,predicted
2026-04-02,"Apple Card","Other",-1944.93,-10165.59,predicted
2026-04-01,"SoFi","Other",-1397.72,-8235.44,predicted
2026-04-01,"Card Cashback Bonus Auto Redemption","Other",14.78,-8220.66,predicted
2026-03-31,"Interest Paid","Other",38.44,-6837.72,predicted
2026-03-30,"Chase","Food & Drink",-36.23,-6876.16,predicted
2026-03-28,"Chase","Other",-129.36,-6839.93,predicted
2026-03-27,"CVS Pharmacy","Healthcare",-70.00,-6590.20,predicted
2026-03-27,"Arc Predict","Other",-120.37,-6710.57,predicted
2026-03-23,"Petscreening Service","Other",-139.36,-6484.62,predicted
2026-03-23,"Chase","Food & Drink",-35.58,-6520.20,predicted
2026-03-22,"Amazon","Shopping",-63.25,-6345.26,predicted
2026-03-20,"Chase","Other",-120.66,-6282.01,predicted
2026-03-19,"Mazda Financial","Auto",-795.44,-5802.75,predicted
2026-03-19,"Walgreens","Healthcare",-300.00,-6102.75,predicted
2026-03-19,"Amazon","Shopping",-58.60,-6161.35,predicted
2026-03-18,"Arc Predict","Other",-119.26,-5007.31,predicted
2026-03-16,"Johnsoncityenerg Elect_pymt","Other",-187.57,-4588.05,predicted
2026-03-16,"Walgreens","Healthcare",-300.00,-4888.05,predicted
2026-03-13,"Petscreening Service","Other",-137.51,-4400.48,predicted
2026-03-12,"Anthropic","Subscriptions",-43.80,-4262.97,predicted
2026-03-10,"Spotify","Subscriptions",-25.90,-4219.17,predicted
2026-03-09,"Chase","Food & Drink",-32.49,-4193.27,predicted
2026-03-08,"Netflix","Subscriptions",-17.26,-4160.78,predicted
2026-03-07,"Chase","Other",-127.54,-4143.52,predicted
2026-03-06,"Discover E-","Other",-159.27,-4015.98,predicted
2026-03-02,"Apple Card","Other",-1944.93,-2348.75,predicted
2026-03-02,"SoFi","Other",-1397.72,-3746.47,predicted
2026-03-02,"Card Cashback Bonus Auto Redemption","Other",14.78,-3731.69,predicted
2026-03-02,"Arc Predict","Other",-125.02,-3856.71,predicted
2026-02-27,"CVS Pharmacy","Healthcare",-70.00,-442.26,predicted
2026-02-27,"Interest Paid","Other",38.44,-403.82,predicted
2026-02-23,"Petscreening Service","Other",-117.77,-372.26,predicted
2026-02-20,"Chase","Other",-129.35,-254.49,predicted
